units,t
33.403,2010 Jul
33.870998,2010 Aug
30.139,2010 Sep
30.503,2010 Oct
27.837999,2010 Nov
25.374001,2010 Dec
24.337,2011 Jan
25.642,2011 Feb
30.375999,2011 Mar
31.215,2011 Apr
32.820999,2011 May
31.528,2011 Jun
31.868999,2011 Jul
30.724001,2011 Aug
29.221001,2011 Sep
29.094,2011 Oct
26.304001,2011 Nov
25.488001,2011 Dec
26.632999,2012 Jan
27.907,2012 Feb
31.215,2012 Mar
32.118999,2012 Apr
32.390999,2012 May
34.034,2012 Jun
33.433998,2012 Jul
31.176001,2012 Aug
31.533001,2012 Sep
32.07,2012 Oct
28.160999,2012 Nov
28.753,2012 Dec
27.809999,2013 Jan
28.232,2013 Feb
33.796001,2013 Mar
35.223,2013 Apr
35.456001,2013 May
36.860001,2013 Jun
36.752998,2013 Jul
35.474998,2013 Aug
34.169998,2013 Sep
34.021999,2013 Oct
32.894001,2013 Nov
32.938,2013 Dec
30.632,2014 Jan
32.841999,2014 Feb
40.823002,2014 Mar
39.771999,2014 Apr
39.278999,2014 May
41.040001,2014 Jun
37.870998,2014 Jul
39.737999,2014 Aug
38.153999,2014 Sep
37.848,2014 Oct
35.662998,2014 Nov
34.734001,2014 Dec
33.005001,2015 Jan
33.632999,2015 Feb
41.800999,2015 Mar
38.654999,2015 Apr
42.539001,2015 May
44.181999,2015 Jun
40.173,2015 Jul
42.702999,2015 Aug
38.987999,2015 Sep
38.464001,2015 Oct
36.448002,2015 Nov
34.77,2015 Dec
35.311001,2016 Jan
38.915001,2016 Feb
43.651001,2016 Mar
42.194,2016 Apr
45.308998,2016 May
42.761002,2016 Jun
42.709,2016 Jul
42.957001,2016 Aug
39.491001,2016 Sep
41.59,2016 Oct
36.852001,2016 Nov
35.358002,2016 Dec
36.870998,2017 Jan
38.174,2017 Feb
44.035,2017 Mar
42.868999,2017 Apr
44.284,2017 May
43.876999,2017 Jun
44.577,2017 Jul
44.164001,2017 Aug
41.443001,2017 Sep
41.805,2017 Oct
36.5,2017 Nov
38,2017 Dec
37.366001,2018 Jan
38.248001,2018 Feb
45.199001,2018 Mar
45.380001,2018 Apr
47.047001,2018 May
