caseid,bundle,value,airline,connect,price,inc
19,2,75,SW,One,$450,66
19,3,65,SW,None,$600,66
19,4,95,Delta,One,$300,66
19,5,75,Delta,None,$450,66
19,6,79,Delta,None,$600,66
19,7,72,Spirit,None,$300,66
19,8,36,Spirit,None,$450,66
19,9,67,Spirit,One,$600,66
20,1,68,SW,None,$300,53
20,2,61,SW,One,$450,53
20,3,0,SW,None,$600,53
20,4,65,Delta,One,$300,53
20,5,0,Delta,None,$450,53
20,6,0,Delta,None,$600,53
20,7,0,Spirit,None,$300,53
20,8,0,Spirit,None,$450,53
20,9,0,Spirit,One,$600,53
21,1,100,SW,None,$300,66
21,2,49,SW,One,$450,66
21,3,62,SW,None,$600,66
21,4,56,Delta,One,$300,66
21,5,41,Delta,None,$450,66
21,6,76,Delta,None,$600,66
21,7,100,Spirit,None,$300,66
21,8,64,Spirit,None,$450,66
21,9,30,Spirit,One,$600,66
22,1,100,SW,None,$300,100
22,2,81,SW,One,$450,100
22,3,59,SW,None,$600,100
22,4,95,Delta,One,$300,100
22,5,85,Delta,None,$450,100
22,6,11,Delta,None,$600,100
22,7,34,Spirit,None,$300,100
22,8,1,Spirit,None,$450,100
22,9,0,Spirit,One,$600,100
23,1,50,SW,None,$300,51
23,2,60,SW,One,$450,51
23,3,30,SW,None,$600,51
23,4,100,Delta,One,$300,51
23,5,88,Delta,None,$450,51
23,6,40,Delta,None,$600,51
23,7,75,Spirit,None,$300,51
23,8,70,Spirit,None,$450,51
23,9,35,Spirit,One,$600,51
24,1,100,SW,None,$300,31
24,2,40,SW,One,$450,31
24,3,0,SW,None,$600,31
24,4,100,Delta,One,$300,31
24,5,100,Delta,None,$450,31
24,6,0,Delta,None,$600,31
24,7,100,Spirit,None,$300,31
24,8,100,Spirit,None,$450,31
24,9,15,Spirit,One,$600,31
25,1,86,SW,None,$300,109
25,2,84,SW,One,$450,109
25,3,89,SW,None,$600,109
25,4,23,Delta,One,$300,109
25,5,34,Delta,None,$450,109
25,6,29,Delta,None,$600,109
25,7,34,Spirit,None,$300,109
25,8,44,Spirit,None,$450,109
25,9,34,Spirit,One,$600,109
26,1,100,SW,None,$300,62
26,2,29,SW,One,$450,62
26,3,0,SW,None,$600,62
26,4,100,Delta,One,$300,62
26,5,80,Delta,None,$450,62
26,6,22,Delta,None,$600,62
26,7,0,Spirit,None,$300,62
26,8,0,Spirit,None,$450,62
26,9,0,Spirit,One,$600,62
27,1,82,SW,None,$300,65
27,2,85,SW,One,$450,65
27,3,79,SW,None,$600,65
27,4,100,Delta,One,$300,65
27,5,100,Delta,None,$450,65
27,6,100,Delta,None,$600,65
27,7,100,Spirit,None,$300,65
27,8,63,Spirit,None,$450,65
27,9,64,Spirit,One,$600,65
28,1,60,SW,None,$300,90
28,2,29,SW,One,$450,90
28,3,20,SW,None,$600,90
28,4,54,Delta,One,$300,90
28,5,16,Delta,None,$450,90
28,6,20,Delta,None,$600,90
28,7,61,Spirit,None,$300,90
28,8,42,Spirit,None,$450,90
28,9,18,Spirit,One,$600,90
29,1,83,SW,None,$300,46
29,2,50,SW,One,$450,46
29,3,59,SW,None,$600,46
29,4,66,Delta,One,$300,46
29,5,37,Delta,None,$450,46
29,6,55,Delta,None,$600,46
29,7,57,Spirit,None,$300,46
29,8,18,Spirit,None,$450,46
29,9,37,Spirit,One,$600,46
30,1,0,SW,None,$300,57
30,2,0,SW,One,$450,57
30,3,0,SW,None,$600,57
30,4,27,Delta,One,$300,57
30,5,0,Delta,None,$450,57
30,6,0,Delta,None,$600,57
30,7,7,Spirit,None,$300,57
30,8,0,Spirit,None,$450,57
30,9,0,Spirit,One,$600,57
31,1,70,SW,None,$300,47
31,2,50,SW,One,$450,47
31,3,0,SW,None,$600,47
31,4,70,Delta,One,$300,47
31,5,50,Delta,None,$450,47
31,6,0,Delta,None,$600,47
31,7,70,Spirit,None,$300,47
31,8,50,Spirit,None,$450,47
31,9,0,Spirit,One,$600,47
32,1,100,SW,None,$300,61
32,2,25,SW,One,$450,61
32,3,0,SW,None,$600,61
32,4,95,Delta,One,$300,61
32,5,62,Delta,None,$450,61
32,6,0,Delta,None,$600,61
32,7,82,Spirit,None,$300,61
32,8,0,Spirit,None,$450,61
32,9,0,Spirit,One,$600,61
33,1,60,SW,None,$300,104
33,2,40,SW,One,$450,104
33,3,0,SW,None,$600,104
33,4,100,Delta,One,$300,104
33,5,40,Delta,None,$450,104
33,6,0,Delta,None,$600,104
33,7,100,Spirit,None,$300,104
33,8,40,Spirit,None,$450,104
33,9,0,Spirit,One,$600,104
34,1,100,SW,None,$300,102
34,2,60,SW,One,$450,102
34,3,0,SW,None,$600,102
34,4,100,Delta,One,$300,102
34,5,80,Delta,None,$450,102
34,6,60,Delta,None,$600,102
34,7,0,Spirit,None,$300,102
34,8,0,Spirit,None,$450,102
34,9,0,Spirit,One,$600,102
35,1,100,SW,None,$300,37
35,2,21,SW,One,$450,37
35,3,26,SW,None,$600,37
35,4,75,Delta,One,$300,37
35,5,20,Delta,None,$450,37
35,6,24,Delta,None,$600,37
35,7,76,Spirit,None,$300,37
