frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
1 to 2 times,Light user,$5 to $9,4,5,3,4,3,3,4,4,4,4,Burgers,Commuter,No,Female,Sophomore,BUSN,1,0,1,0,0,1,1,1,1,537
1 to 2 times,Light user,$5 to $9,7,5,2,5,5,5,1,3,2,5,Chicken,On-Campus,Yes,Female,Freshman,BUSN,1,0,1,1,1,0,0,0,1,538
3 to 5 times,Heavy User,$5 to $9,3,5,3,5,4,4,5,5,5,,Chicken,Off-Campus,No,Female,Senior,EDUC,1,0,1,1,1,1,1,1,,539
1 to 2 times,Light user,$5 to $9,5,5,2,4,3,3,3,5,3,3,Chicken,Off-Campus,No,Female,Senior,ARTSC,1,0,1,0,0,0,1,0,0,540
3 to 5 times,Heavy User,Less than $5,6,4,4,5,4,4,2,4,3,3,Burgers,Off-Campus,No,Male,Junior,BUSN,1,1,1,1,1,0,1,0,0,541
1 to 2 times,Light user,$10 or more,1,4,5,5,2,3,4,3,5,3,Chicken,Off-Campus,No,Female,Senior,EDUC,1,1,1,0,0,1,0,1,0,542
1 to 2 times,Light user,$5 to $9,6,5,4,3,5,4,2,5,2,4,Burgers,Off-Campus,No,Male,Junior,BUSN,1,1,0,1,1,0,1,0,1,543
1 to 2 times,Light user,$5 to $9,5,4,3,4,4,3,3,3,3,3,Burgers,On-Campus,Yes,Female,Freshman,ARTSC,1,0,1,1,0,0,0,0,0,544
1 to 2 times,Light user,$10 or more,2,5,3,4,2,3,5,4,5,3,Chicken,On-Campus,Yes,Female,Freshman,OTH,1,0,1,0,0,1,1,1,0,545
1 to 2 times,Light user,$5 to $9,2,4,3,4,3,3,4,4,3,2,Sandwiches,Off-Campus,No,Female,Junior,ARTSC,1,0,1,0,0,1,1,0,0,546
1 to 2 times,Light user,$5 to $9,6,5,3,5,5,4,2,5,4,4,Burgers,On-Campus,Yes,Male,Sophomore,EDUC,1,0,1,1,1,0,1,1,1,547
1 to 2 times,Light user,$5 to $9,3,4,3,4,3,4,3,4,4,2,Burgers,On-Campus,Yes,Female,Sophomore,ARTSC,1,0,1,0,1,0,1,1,0,548
1 to 2 times,Light user,$5 to $9,4,5,4,5,3,3,5,3,3,3,Chicken,On-Campus,Yes,Female,Freshman,OTH,1,1,1,0,0,1,0,0,0,549
1 to 2 times,Light user,$5 to $9,7,5,2,5,5,5,2,5,3,5,Chicken,On-Campus,Yes,Female,Freshman,ARTSC,1,0,1,1,1,0,1,0,1,550
3 to 5 times,Heavy User,$10 or more,1,5,2,5,2,2,2,5,4,3,Burgers,On-Campus,Yes,Female,Freshman,BUSN,1,0,1,0,0,0,1,1,0,551
3 to 5 times,Heavy User,$5 to $9,7,5,5,4,5,5,3,5,3,5,Mexican,On-Campus,Yes,Female,Freshman,OTH,1,1,1,1,1,0,1,0,1,552
1 to 2 times,Light user,$5 to $9,6,5,5,5,5,4,4,5,4,3,Chicken,Off-Campus,No,Female,Junior,OTH,1,1,1,1,1,1,1,1,0,553
1 to 2 times,Light user,$5 to $9,1,3,4,4,4,3,2,5,3,3,Burgers,Off-Campus,No,Male,Junior,OTH,0,1,1,1,0,0,1,0,0,554
