frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
3 to 5 times,Heavy User,$5 to $9,7,3,3,4,4,5,2,4,4,4,Burgers,On-Campus,Yes,Male,Sophomore,BUSN,0,0,1,1,1,0,1,1,1,657
0 times,Non-user,Less than $5,,4,4,5,3,4,5,4,3,3,Sandwiches,Off-Campus,No,Female,Junior,EDUC,1,1,1,0,1,1,1,0,0,658
10 or more times,Heavy User,$5 to $9,4,2,3,3,4,1,4,3,4,2,Chicken,On-Campus,Yes,Female,Freshman,OTH,0,0,0,1,0,1,0,1,0,659
3 to 5 times,Heavy User,$10 or more,1,4,4,3,1,1,3,1,2,4,Chicken,Off-Campus,No,Female,Senior,EDUC,1,1,0,0,0,0,0,0,1,660
1 to 2 times,Light user,$5 to $9,3,5,3,5,5,3,5,5,3,5,Other,On-Campus,Yes,Female,Junior,OTH,1,0,1,1,0,1,1,0,1,661
3 to 5 times,Heavy User,$10 or more,1,4,3,2,4,5,1,4,3,4,Burgers,Commuter,Yes,Male,Freshman,OTH,1,0,0,1,1,0,1,0,1,662
3 to 5 times,Heavy User,$5 to $9,6,5,3,5,4,4,5,3,4,3,Chicken,Commuter,No,Female,Senior,ARTSC,1,0,1,1,1,1,0,1,0,663
1 to 2 times,Light user,$5 to $9,1,4,2,5,4,5,2,3,5,3,Chicken,Off-Campus,No,Female,Junior,EDUC,1,0,1,1,1,0,0,1,0,664
1 to 2 times,Light user,$10 or more,1,5,4,5,4,4,2,5,5,4,Burgers,Off-Campus,No,Female,Junior,BUSN,1,1,1,1,1,0,1,1,1,665
1 to 2 times,Light user,$5 to $9,7,4,3,5,5,4,2,4,3,3,Chicken,Off-Campus,No,Female,Sophomore,EDUC,1,0,1,1,1,0,1,0,0,666
1 to 2 times,Light user,$5 to $9,4,5,3,4,3,3,3,3,3,3,Mexican,Off-Campus,No,Female,Senior,EDUC,1,0,1,0,0,0,0,0,0,667
0 times,Non-user,Less than $5,5,5,4,5,3,3,2,5,4,4,Burgers,On-Campus,Yes,Female,Freshman,OTH,1,1,1,0,0,0,1,1,1,668
1 to 2 times,Light user,$5 to $9,3,5,4,4,4,2,3,4,3,4,Sandwiches,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,0,0,1,0,1,669
1 to 2 times,Light user,$5 to $9,3,5,3,3,4,3,4,3,3,4,Sandwiches,On-Campus,Yes,Female,Sophomore,ARTSC,1,0,0,1,0,1,0,0,1,670
3 to 5 times,Heavy User,$10 or more,5,4,3,5,3,3,4,3,3,4,Other,On-Campus,Yes,Female,Junior,EDUC,1,0,1,0,0,1,0,0,1,671
6 to 9 times,Heavy User,$10 or more,5,4,3,4,3,4,2,3,3,4,Chicken,Off-Campus,No,Male,Junior,BUSN,1,0,1,0,1,0,0,0,1,672
1 to 2 times,Light user,$5 to $9,5,4,3,5,4,5,3,5,4,4,Burgers,Off-Campus,No,Female,Sophomore,OTH,1,0,1,1,1,0,1,1,1,673
1 to 2 times,Light user,$5 to $9,2,4,1,4,4,3,5,4,5,4,Burgers,On-Campus,Yes,Male,Junior,ARTSC,1,0,1,1,0,1,1,1,1,674
3 to 5 times,Heavy User,$5 to $9,7,4,3,3,2,5,2,5,3,4,Burgers,Off-Campus,No,Female,Senior,BUSN,1,0,0,0,1,0,1,0,1,675
1 to 2 times,Light user,$5 to $9,4,3,3,5,4,3,1,3,4,4,Chicken,Off-Campus,No,Female,Senior,OTH,0,0,1,1,0,0,0,1,1,676
1 to 2 times,Light user,$10 or more,6,5,4,5,4,4,4,5,3,3,Chicken,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,1,1,1,0,0,677
1 to 2 times,Light user,$5 to $9,5,5,4,5,3,4,5,5,5,5,Other,Off-Campus,No,Female,Senior,ARTSC,1,1,1,0,1,1,1,1,1,678
1 to 2 times,Light user,$5 to $9,4,5,5,5,5,5,3,5,5,5,Chicken,On-Campus,Yes,Female,Freshman,EDUC,1,1,1,1,1,0,1,1,1,679
3 to 5 times,Heavy User,Less than $5,1,4,5,5,5,5,5,5,3,5,Chicken,On-Campus,Yes,Female,Sophomore,ARTSC,1,1,1,1,1,1,1,0,1,680
3 to 5 times,Heavy User,$5 to $9,3,5,3,5,4,3,2,4,4,2,Burgers,On-Campus,Yes,Female,Freshman,EDUC,1,0,1,1,0,0,1,1,0,681
3 to 5 times,Heavy User,$5 to $9,3,3,4,4,4,4,3,4,3,3,Chicken,Off-Campus,No,Female,Junior,OTH,0,1,1,1,1,0,1,0,0,682
1 to 2 times,Light user,$10 or more,1,4,3,5,1,2,5,4,4,3,Chicken,Off-Campus,No,Male,Sophomore,OTH,1,0,1,0,0,1,1,1,0,683
3 to 5 times,Heavy User,$5 to $9,7,5,5,5,4,5,4,5,4,5,Other,On-Campus,Yes,Female,Freshman,OTH,1,1,1,1,1,1,1,1,1,684
3 to 5 times,Heavy User,$10 or more,7,5,3,5,3,2,3,3,4,4,Burgers,Off-Campus,No,Male,Junior,ARTSC,1,0,1,0,0,0,0,1,1,685
3 to 5 times,Heavy User,$10 or more,5,3,3,5,3,2,4,3,3,3,Mexican,On-Campus,Yes,Male,Freshman,OTH,0,0,1,0,0,1,0,0,0,686
1 to 2 times,Light user,$10 or more,4,4,3,4,2,3,4,5,4,4,Other,On-Campus,Yes,Male,Freshman,OTH,1,0,1,0,0,1,1,1,1,687
0 times,Non-user,Less than $5,3,5,3,4,2,4,4,4,2,3,Sandwiches,On-Campus,Yes,Female,Sophomore,ARTSC,1,0,1,0,1,1,1,0,0,688
3 to 5 times,Heavy User,$5 to $9,6,4,2,4,3,2,4,4,3,5,Chicken,Commuter,No,Male,Freshman,OTH,1,0,1,0,0,1,1,0,1,689
3 to 5 times,Heavy User,$5 to $9,6,5,3,3,2,5,3,4,5,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,0,0,0,1,0,1,1,1,690
10 or more times,Heavy User,$10 or more,7,4,3,5,4,4,4,3,5,4,Other,Off-Campus,No,Female,Junior,OTH,1,0,1,1,1,1,0,1,1,691
1 to 2 times,Light user,$10 or more,4,2,3,2,2,2,1,1,2,4,Burgers,Off-Campus,No,Male,Junior,EDUC,0,0,0,0,0,0,0,0,1,692
1 to 2 times,Light user,$10 or more,3,5,4,4,4,3,1,5,5,2,Burgers,Off-Campus,No,Male,Junior,ARTSC,1,1,1,1,0,0,1,1,0,693
1 to 2 times,Light user,$10 or more,6,4,3,4,4,4,4,5,3,4,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,1,0,1,1,1,1,1,0,1,694
1 to 2 times,Light user,Less than $5,4,5,3,5,4,4,1,3,4,5,Burgers,On-Campus,Yes,Female,Freshman,EDUC,1,0,1,1,1,0,0,1,1,695
1 to 2 times,Light user,$5 to $9,1,4,3,4,3,3,2,3,3,2,Chicken,Commuter,No,Female,Senior,BUSN,1,0,1,0,0,0,0,0,0,696
1 to 2 times,Light user,$5 to $9,7,5,3,4,4,5,3,4,3,4,Burgers,Off-Campus,No,Female,Senior,BUSN,1,0,1,1,1,0,1,0,1,697
3 to 5 times,Heavy User,$10 or more,7,4,1,3,4,4,1,2,3,4,Mexican,On-Campus,Yes,Male,Freshman,ARTSC,1,0,0,1,1,0,0,0,1,698
1 to 2 times,Light user,Less than $5,1,5,3,5,5,5,5,4,5,4,Sandwiches,Commuter,No,Female,Junior,ARTSC,1,0,1,1,1,1,1,1,1,699
3 to 5 times,Heavy User,Less than $5,7,4,2,4,5,5,3,5,3,3,Chicken,Off-Campus,No,Male,Sophomore,BUSN,1,0,1,1,1,0,1,0,0,700
3 to 5 times,Heavy User,$5 to $9,7,4,4,5,4,5,4,5,5,4,Burgers,Off-Campus,No,Female,Senior,OTH,1,1,1,1,1,1,1,1,1,701
1 to 2 times,Light user,$5 to $9,7,4,4,5,5,3,4,1,1,5,Burgers,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,0,1,0,0,1,702
1 to 2 times,Light user,$5 to $9,7,4,5,3,5,4,2,5,3,5,Chicken,Off-Campus,No,Female,Junior,OTH,1,1,0,1,1,0,1,0,1,703
1 to 2 times,Light user,$5 to $9,2,5,4,4,5,3,3,3,4,3,Chicken,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,0,0,0,1,0,704
3 to 5 times,Heavy User,$5 to $9,6,5,5,4,3,4,3,3,5,4,Chicken,Off-Campus,No,Female,Junior,EDUC,1,1,1,0,1,0,0,1,1,705
3 to 5 times,Heavy User,$10 or more,4,4,3,4,4,4,3,3,3,4,Chicken,Off-Campus,No,Female,Senior,OTH,1,0,1,1,1,0,0,0,1,706
1 to 2 times,Light user,$5 to $9,1,2,4,4,4,4,3,4,2,4,Other,On-Campus,Yes,Female,Senior,ARTSC,0,1,1,1,1,0,1,0,1,707
1 to 2 times,Light user,$5 to $9,1,5,5,4,3,4,5,4,4,4,Sandwiches,Off-Campus,No,Female,Senior,ARTSC,1,1,1,0,1,1,1,1,1,708
1 to 2 times,Light user,$5 to $9,2,4,3,4,4,3,2,5,4,4,Mexican,On-Campus,Yes,Female,Junior,EDUC,1,0,1,1,0,0,1,1,1,709
0 times,Non-user,Less than $5,1,5,4,5,3,3,5,3,4,2,Sandwiches,Off-Campus,No,Female,Senior,OTH,1,1,1,0,0,1,0,1,0,710
3 to 5 times,Heavy User,$10 or more,7,5,4,5,5,5,2,3,2,3,Burgers,Off-Campus,No,Female,Senior,BUSN,1,1,1,1,1,0,0,0,0,711
0 times,Non-user,Less than $5,2,5,4,5,2,4,4,5,4,2,Mexican,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,0,1,1,1,1,0,712
0 times,Non-user,$5 to $9,5,4,3,4,4,4,1,3,4,5,Burgers,On-Campus,Yes,Male,Sophomore,BUSN,1,0,1,1,1,0,0,1,1,713
1 to 2 times,Light user,$5 to $9,6,5,4,5,4,4,2,4,4,4,Mexican,Off-Campus,No,Female,Sophomore,BUSN,1,1,1,1,1,0,1,1,1,714
3 to 5 times,Heavy User,$5 to $9,4,4,3,4,4,3,3,4,3,4,Chicken,On-Campus,Yes,Female,Sophomore,BUSN,1,0,1,1,0,0,1,0,1,715
1 to 2 times,Light user,$5 to $9,4,5,3,5,3,4,3,2,4,3,Chicken,Commuter,No,Male,Freshman,OTH,1,0,1,0,1,0,0,1,0,716
1 to 2 times,Light user,$5 to $9,3,5,4,4,4,4,3,4,3,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,1,1,1,1,0,1,0,1,717
0 times,Non-user,Less than $5,4,5,5,5,5,5,5,5,5,4,Mexican,On-Campus,Yes,Female,Freshman,BUSN,1,1,1,1,1,1,1,1,1,718
3 to 5 times,Heavy User,Less than $5,7,3,2,4,5,3,3,4,2,4,Burgers,Off-Campus,No,Male,Senior,BUSN,0,0,1,1,0,0,1,0,1,719
0 times,Non-user,$5 to $9,4,5,2,4,3,4,5,4,3,2,Burgers,Off-Campus,No,Male,Sophomore,ARTSC,1,0,1,0,1,1,1,0,0,720
1 to 2 times,Light user,$10 or more,4,5,3,5,3,4,3,3,5,3,Chicken,Commuter,No,Female,Senior,ARTSC,1,0,1,0,1,0,0,1,0,721
1 to 2 times,Light user,$5 to $9,5,3,4,3,2,3,3,3,3,3,Other,Off-Campus,No,Female,Senior,EDUC,0,1,0,0,0,0,0,0,0,722
0 times,Non-user,$5 to $9,3,5,3,5,3,3,5,2,3,2,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,0,1,0,0,1,0,0,0,723
0 times,Non-user,$10 or more,3,5,5,5,4,4,3,5,5,3,Mexican,On-Campus,Yes,Male,Freshman,ARTSC,1,1,1,1,1,0,1,1,0,724
1 to 2 times,Light user,Less than $5,5,4,4,4,4,4,3,4,3,3,Burgers,On-Campus,Yes,Female,Freshman,EDUC,1,1,1,1,1,0,1,0,0,725
1 to 2 times,Light user,$5 to $9,3,4,4,5,4,3,3,4,4,3,Chicken,On-Campus,Yes,Male,Sophomore,BUSN,1,1,1,1,0,0,1,1,0,726
1 to 2 times,Light user,$5 to $9,6,4,4,4,4,4,4,4,3,4,Mexican,Off-Campus,No,Female,Senior,OTH,1,1,1,1,1,1,1,0,1,727
3 to 5 times,Heavy User,$5 to $9,5,5,4,4,3,4,3,4,2,3,Other,On-Campus,Yes,Female,Freshman,OTH,1,1,1,0,1,0,1,0,0,728
1 to 2 times,Light user,$5 to $9,2,3,3,4,5,4,2,4,3,4,Sandwiches,Commuter,No,Female,Junior,EDUC,0,0,1,1,1,0,1,0,1,729
1 to 2 times,Light user,Less than $5,6,3,3,2,4,3,2,5,3,5,Burgers,On-Campus,Yes,Female,Sophomore,EDUC,0,0,0,1,0,0,1,0,1,730
0 times,Non-user,Less than $5,1,5,5,5,5,5,5,5,5,5,Chicken,Off-Campus,No,Male,Senior,EDUC,1,1,1,1,1,1,1,1,1,731
1 to 2 times,Light user,$5 to $9,6,4,3,4,4,3,2,3,3,3,Chicken,Commuter,No,Female,Junior,OTH,1,0,1,1,0,0,0,0,0,732
3 to 5 times,Heavy User,$5 to $9,6,2,3,3,3,5,1,4,3,4,Sandwiches,Off-Campus,No,Male,Senior,BUSN,0,0,0,0,1,0,1,0,1,733
1 to 2 times,Light user,$5 to $9,7,3,2,3,3,1,2,2,2,2,Burgers,Off-Campus,No,Male,Senior,ARTSC,0,0,0,0,0,0,0,0,0,734
1 to 2 times,Light user,$5 to $9,3,3,4,5,2,3,3,2,4,4,Other,On-Campus,Yes,Male,Freshman,EDUC,0,1,1,0,0,0,0,1,1,735
1 to 2 times,Light user,$5 to $9,4,2,5,5,5,5,4,5,3,3,Chicken,Off-Campus,No,Female,Sophomore,EDUC,0,1,1,1,1,1,1,0,0,736
3 to 5 times,Heavy User,$5 to $9,6,5,2,3,4,5,2,4,2,2,Burgers,Off-Campus,No,Male,Junior,BUSN,1,0,0,1,1,0,1,0,0,737
0 times,Non-user,$5 to $9,2,3,3,4,3,3,2,3,3,3,Chicken,Off-Campus,No,Male,Senior,EDUC,0,0,1,0,0,0,0,0,0,738
3 to 5 times,Heavy User,$10 or more,4,5,5,5,5,5,5,2,5,5,Mexican,Off-Campus,No,Female,Sophomore,ARTSC,1,1,1,1,1,1,0,1,1,739
1 to 2 times,Light user,$5 to $9,4,4,3,5,3,3,2,4,4,4,Chicken,On-Campus,Yes,Female,Freshman,OTH,1,0,1,0,0,0,1,1,1,740
1 to 2 times,Light user,$5 to $9,4,5,3,5,4,3,3,5,5,3,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,1,0,1,1,0,0,1,1,0,741
1 to 2 times,Light user,$5 to $9,3,5,5,4,3,3,5,4,3,3,Other,On-Campus,Yes,Female,Freshman,OTH,1,1,1,0,0,1,1,0,0,742
3 to 5 times,Heavy User,$10 or more,4,2,4,3,3,3,4,4,3,3,Other,Off-Campus,No,Female,Senior,ARTSC,0,1,0,0,0,1,1,0,0,743
1 to 2 times,Light user,$5 to $9,6,4,3,4,4,3,3,5,4,4,Burgers,On-Campus,Yes,Female,Sophomore,ARTSC,1,0,1,1,0,0,1,1,1,744
1 to 2 times,Light user,$10 or more,6,5,5,5,3,5,5,2,2,5,Burgers,Off-Campus,No,Male,Junior,OTH,1,1,1,0,1,1,0,0,1,745
3 to 5 times,Heavy User,$10 or more,3,5,3,5,4,3,2,4,4,3,Chicken,Commuter,No,Female,Sophomore,ARTSC,1,0,1,1,0,0,1,1,0,746
3 to 5 times,Heavy User,$5 to $9,3,4,3,5,3,3,3,4,3,4,Mexican,On-Campus,Yes,Female,Freshman,OTH,1,0,1,0,0,0,1,0,1,747
3 to 5 times,Heavy User,$10 or more,4,4,3,4,3,4,3,4,3,3,Burgers,On-Campus,Yes,Male,Freshman,OTH,1,0,1,0,1,0,1,0,0,748
1 to 2 times,Light user,$5 to $9,5,4,3,4,5,4,4,4,3,5,Mexican,On-Campus,Yes,Female,Freshman,EDUC,1,0,1,1,1,1,1,0,1,749
3 to 5 times,Heavy User,$5 to $9,1,5,5,5,5,5,5,5,5,5,Burgers,On-Campus,Yes,Female,Freshman,OTH,1,1,1,1,1,1,1,1,1,750
3 to 5 times,Heavy User,$5 to $9,3,5,4,3,5,4,2,4,2,5,Chicken,Off-Campus,Yes,Male,Senior,BUSN,1,1,0,1,1,0,1,0,1,751
1 to 2 times,Light user,$5 to $9,6,4,4,3,4,3,4,5,2,5,Mexican,On-Campus,Yes,Female,Freshman,ARTSC,1,1,0,1,0,1,1,0,1,752
1 to 2 times,Light user,$10 or more,6,4,2,3,4,4,2,5,3,5,Burgers,Commuter,No,Female,Junior,OTH,1,0,0,1,1,0,1,0,1,753
1 to 2 times,Light user,$10 or more,5,4,4,4,4,4,3,3,3,2,Chicken,Off-Campus,No,Male,Junior,ARTSC,1,1,1,1,1,0,0,0,0,754
1 to 2 times,Light user,$10 or more,5,4,3,5,3,4,4,4,2,4,Sandwiches,Off-Campus,No,Male,Junior,ARTSC,1,0,1,0,1,1,1,0,1,755
1 to 2 times,Light user,$5 to $9,7,4,4,4,4,3,3,4,3,4,Chicken,Off-Campus,No,Female,Senior,BUSN,1,1,1,1,0,0,1,0,1,756
1 to 2 times,Light user,$10 or more,4,5,5,5,5,5,4,5,5,5,Chicken,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,1,1,1,1,1,757
3 to 5 times,Heavy User,$10 or more,3,3,5,5,4,4,3,5,5,4,Chicken,Commuter,No,Female,Sophomore,ARTSC,0,1,1,1,1,0,1,1,1,758
1 to 2 times,Light user,$5 to $9,3,4,4,3,3,2,3,5,2,2,Chicken,Commuter,No,Female,Sophomore,ARTSC,1,1,0,0,0,0,1,0,0,759
3 to 5 times,Heavy User,Less than $5,,3,1,3,3,1,3,5,3,3,Sandwiches,Off-Campus,No,Female,Senior,ARTSC,0,0,0,0,0,0,1,0,0,760
1 to 2 times,Light user,$5 to $9,4,5,4,5,4,4,5,5,4,4,Mexican,Off-Campus,No,Female,Junior,OTH,1,1,1,1,1,1,1,1,1,761
1 to 2 times,Light user,$10 or more,3,5,4,5,4,4,4,5,5,4,Mexican,On-Campus,Yes,Male,Sophomore,ARTSC,1,1,1,1,1,1,1,1,1,762
3 to 5 times,Heavy User,$10 or more,3,4,4,5,3,3,5,5,5,5,Chicken,On-Campus,Yes,Female,Freshman,OTH,1,1,1,0,0,1,1,1,1,763
1 to 2 times,Light user,$5 to $9,3,3,1,5,1,1,3,4,4,2,Burgers,On-Campus,Yes,Female,Freshman,OTH,0,0,1,0,0,0,1,1,0,764
