week,sold,price
367,2412,1.75
368,1118,2.28
369,1140,2.29
370,1140,2.29
371,1072,2.29
372,1922,1.71
373,1133,2.29
374,1125,2.29
375,1060,2.29
376,1183,2.29
377,1325,2.29
378,964,2.29
379,1184,2.29
380,1108,2.29
381,1010,2.29
382,998,2.29
383,3656,1.79
384,1243,2.29
385,1212,2.29
386,1781,2.05
387,2926,1.99
388,2926,1.99
389,1279,2.28
390,1098,2.29
391,1127,2.29
392,1193,2.29
393,1084,2.29
394,1084,2.29
395,946,2.29
396,1121,2.29
397,1091,2.29
398,1062,2.29
399,1044,2.29
